Name,Download Count
ohash,1017
zhash,1603
ghash,46514298
dhash,2544
shash,2531
thash,5198
hash,32471
fhash,5687
ahas,1349
mhash,6703
jhash,24373
khash,5275
ahsah,6064
chash,994
lhash,66344
xhash,23534
phash,1252
manyhow,967918
cmd,2519
async-stm,26806
async,190
tty,13841
matty,431
att,7063
asum,1400
alum,5062
base62,2727838
based64,14500
base64s,1553
bases64,1582
base24,5965
ubase64,663
base94,2753
rbase64,42011
base60,1982
baze64,6377
baste64,398
levy,1054
bevm,2138
bavy,1197
bvy,1198
bincode2,207352
bencode,43182
cbindgen,40853222
nbindgen,1357
bingen,6456
bitflag,806
byte-order,24789
byte,139294
byter,1380
bytex,1996
tbytes,6802
jbytes,297
bytey,4994
bytez,2364
lbytes,1404
nbytes,332240
bites,1188
xbytes,1675
metadata,16754
cargo,4506343
co,1262
fc,1701
cy,1120
vcc,2754
mc,2707
pc,1406
cm,3089
wc,1393
ca,3174
zc,7571
xcc,971
dc,1466
ck,1833
cce,1670
ccs,380
ccv,2353
mcc,1357
rcc,11416
ci,2035
ccg,1249
cg,2351
ctc,3860
tcc,1540
ec,1704
c8,2024
crc,61907971
hc,4810
cx,1299
ce,1424
csc,8802
oc,1009
rc,45030
cpc,41940
yc,1336
cqc,15186
cv,8264
cnc,1238
c,4004
cj,2999
c4,5384
clc,4918
cc4,3188
cmc,18506
ct,5367
ch,1155
ecc,6844
c2,2832
ncc,1925
gcc,16185080
chc,3027
cr,2955
cic,1224
cf,10094
cfc,999
cgc,11219
gc,237259
ycc,1029
cp,1279
cdc,11307
cco,1883
qc,4701
cd,247409
ccu,1116
acc,3538
cbc,14905659
jcc,7115
cn,1306
cb,3357
ccl,106948
cl,3618
ucc,3877
cw,9833
wcc,10759
kc,16875
nc,134317
uc,1582
fcc,10169
cu,2697
cxc,4524
xc,947
hcc,1395
c3,17837
bc,18299
ic,1307
cs,5459
lc,3284
ccm,3118874
sc,100094
ccp,4051
vc,1347
scc,8148818
c1,905
cca,1139
bcc,198512
ccd,1916
dcc,1206
cfg,31796
chronos,1257
mhrono,1098
chron,12242
uchrono,1795
lap,1033
crap,1296
flap,3247
claps,2760
cldap,1755
ccap,1098
cmap,3166
coap,283100
clapi,2892
clam,8530
cla,1675
clak,313
clai,943
clay,3374
clac,1775
claw,2216
clp,4485
clamp,132054
clip,3168
clap2,5571
chap,2507
cap,202641
ctap,1359
cliply,3001
chippy,1005
clipcpy,1691
clipp,1166
slippy,967
xmake,3638
cmaze,5788
acmake,1965
chmake,1029
rmake,31639
cake,2012
omake,6574
colorex,469
colorid,5995
coloured,416
colorer,7787
rconsole,587
convert,3231
case,2976175
cortex-r,1950
cortex,9751
cortex-a,232718
m,30528
criterion2,101045
crossbeam,48469568
csl,1469
csz,443
rcsv,1013
csvx,15847
cev,1327
ccv,2353
wsv,11433
csr,10085
czv,2259
rsv,5542
ysv,14529
ctv,21548
csvr,1820
tsv,7687
cuv,1702
c0sv,3048
cnv,1370
csvc,2505
cov,11279
csp,9850
osv,23253
qsv,152197
csq,1932
csh,1331
bcsv,6902
cs,5459
dcsv,15407
sv,19001
builder,1807
derive,35988
tdigest,103791
udigest,25393
xdirs,2710
pirs,7311
digs,10910
dias,1987
dire,26281
dlrs,2737
dfrs,7269
dirsh,2216
dir,15965
dircs,10162
irs,1500
dxrs,1771
dors,7704
diss,22530
dars,1546
airs,1354
dis,1250
dirt,1208
dirk,1253
d3rs,830
dcrs,2363
dsrs,4656
dirx,1037
drs,1218
durs,2966
dims,5994
dirs2,53823
dira,2668
iirs,4652
d-rs,1828
rdotenv,4318
dotent,10336
dotenvy,31988478
dotenvs,98470
potenv,1757
eitherq,2760
wither,38071
embedded,2035
embedded-dal,922
embedded-nal,301881
env,1123
logger,202943
error,687656
byre,1345
lyre,1010
eyrie,379
fyre,917
pyre,6689
esre,1897
gyre,1099
eye,8272
zyre,1871
wyre,8057
ayre,1096
eyra,26187
xfailure,62377
flate3,29950
fnr,2112
fns,7086
env,1123
fng,1072
fev,6280
fnv0,384
fnm,50670
jnv,13389
fn,5803
nv,6434
inv,1254
fnn,807
fnd,6885
fnq,3066
vnv,3329
cnv,1370
flv,2457
fav,1059
fni,921
fenv,1059
util,10397
futures,243818635
futures2,3071
future,13272
pgetopts,8684
getopt3,5423
getopt,52233
gitk,1220
gitm,6071
git,58987
golb,972
glib,11868234
clob,1030
globe,6862
gcob,1945
dlob,1084
glou,892
glot,899
gloo,2322580
grob,3551
gob,5981
literal,18070
hex,197822929
vex,44036
hexy,4717
pex,34278
hep,3093
phex,404
hen,6308
hexe,8058
hexi,2130
lex,7283
thex,1251
he,1371
hexa,1657
fhex,1205
chex,1223
hbx,1044
hext,3436
hexo,17853
bex,9801
hax,873
mex,1767
gex,17769
hexf,117404
ghex,1200
hex_,968
hexd,829
iex,1607
rhex,1553
ex,69212
cex,13283
hx,18610
jex,6248
htx,1175
dex,19622
rex,2650
hrx,2279
wex,3807
h4x,1215
hexz,1044
h2x,5343
heu,1042
hexx,47734
hed,2497
kex,14758
hey,1380
her,85
yex,1313
hew,8048
sex,1682
heh,14610
ihex,490411
tex,2259
nex,22124
heme,2324
hom,4562
some,1085
hope,1600
tome,1487
rome,5408
homo,1012
homer,1313
homey,835
hone,1177
homl,1320
whome,8007
hose,710
ghttp,1347
http3,2378
https,51044
mhttp,1087
chttp,79327
htpp,4515
rhttp,2323
http1,4821
htp,12465
ehttp,740057
thttp,1180
httpz,29246
httpc,3893
htt,7670
httpd,1999
bhttp,126457
http2,9732
httt,885
httx,469
uhttp,4125
htop,20207
ohttp,72082
httm,159658
hyttp,925
sttp,1149
httpx,1155
fhttp,12283
ttp,2721
hptp,3223
rhyper,12113
hypers,47329
thyper,2038
hyper2,31674
hypar,3167
hype,1139
hypher,136895
cyper,9541
hyped,1820
hyperx,2510986
vyper,964
hypr,2605
typer,3466
dimage,2750
kimage,2776
eimage,1973
limage,313
image4,5872
imag,20234
imago,1693
mage,5556
rimage,19086
imager,12728
imge,4043
omage,8986
jimage,6917
image2,110008
imaged,18498
jsc-sys,5215
jl-sys,33410
j9-sys,8323
lazy,15254
static,7422
liba,27595
libr,2317
lib2,1445
libk,883
lib0,164472
ibc,206062
flibc,722
rlibc,540001
libm,111399683
libz,1063
libx,303
libic,3147
lic,6597
libn,949
licc,2949
libs,1538
lib3,1883
libq,957
libcw,2633
libw,10547
tlog,3266
blog,371
loge,22234
dlog,3199
lrg,3742
bog,762
loe,6737
alog,25624
dog,5717
logg,2230
flog,2866
og,2344
l0g,3155
loga,33590
logu,737
jlog,6772
llog,2059
lig,2148
mog,1167
rog,14100
nlog,3637
logq,20207
qlog,433273
slog,21632782
loc,34395
vlog,105358
leg,17265
nog,1351
logs,34958
logd,2043
tog,2965
lo,1900
ulog,6513
xlog,22678
lag,2423
zlog,2143
clog,33419
cog,2092
elog,5440
lox,3291
glog,1797
logv,4552
lok,22085
gog,21690
loa,8277
ilog,20670
fog,1191
klog,3867
lg,5851
hog,1385
log2,18971
logr,9011
mlog,6214
qog,5165
jog,1740
logx,1309
logo,5529
logz,2766
los,2374
plog,16844
lol,1586
rlog,7703
lob,650
logi,6025
maplit2,24435
wmemchr,1114
time,330792444
mise,201951
mimes,1281
mtime,1135
pime,13975
gmime,10247
mimi,3459
mite,316
native,2643
tls,5672
unix,37343
uix,4722
ix,2285
nip,3635
nx,9935
nixv,1528
nid,12667
fix,6948
inix,406
aix,682
mix,2381
nif,7106
nil,2258
ngx,4292
enix,371
kix,2748
xix,996
pix,2365841
nixy,1199
onix,1627
nyx,19921
zix,1400
nib,8603
rix,5458
nio,1757
gix,8209266
jnix,142266
nex,22124
nof,9952
om,1035
pom,1603256
nomi,4184
noz,1064
noem,2358
eom,6909
jom,891
noo,1019
dom,854
npm,4903
noc,9046
nor,2129
hom,4562
now,2379381
uom,3364395
zom,1434
nog,1351
nol,11493
ndm,10996
tom,1503
inom,971
bom,3815
com,1547751
nomt,974
naom,3800
nxm,1268
nod,10735
nym,2776
mom,1040
gom,1573
nos,2104
nox,1350
no,5642
num,85532586
nrm,1124
rom,1485
nom8,3992648
som,10433
norm,2155
oom,4165
noam,1066
noa,2424
anotify,3840
notif,11733
znotify,11448
rnotify,4873
vnotify,454
gotify,4564
inotify,40965374
dotify,1477
num,85532586
nom-derive,1471094
derive,35988
fnum-derive,2789
num,85532586
traits,1488
numtraits,2970
nuo,881
dum,16597
nut,13036
unum,2207
hum,10071
nums,34765
npm,4903
numf,6086
lum,8772
nue,3967
ndm,10996
cum,1899
nu,316045
dnum,2681
fum,1381
mum,1457
nun,1043
nxm,1268
rum,2134
nrm,1124
um,1383
numx,1434
nup,1028
fnum,1691
num,85532586
num_cpu,4120
num,85532586
once,37918
cell,18011
openssh,1083528
opensal,1074
float,11640
ordered,62581
pasta,2966
epaste,6882
paster,1767
kaste,936
waste,1260
past,1505
pate,1055
pasty,1557
haste,791
pest,102457365
derive,35988
pest3_derive,1849
mphf,1226
pff,7626
pdf,285968
pef,3912
phm,2632
pbf,8892
paf,4227
pho,5112
php,1933
pwf,2251
ph4,844
prf,1280
psf,3027
ph,314132
chf,4095
pf,6778
shf,9360
hf,12031
phc,3762
phd,16014
phi,2569
pretty,7210264
proc-macro3,1853
proc,13362
procmacro2,2256
proc-macro0,2290
droptest,48279
prop-test,2062
prose,17835
prosto,19449
prout,2566
pros,17820
prust,4199
prosa,2713
rost,4296
rpost,902
proot,3803
pyon,938
pdo3,962
pyo2,1891
xml,285687
quick,4951
quickcheck2,806
quoth,16373
aquote,2158
rquote,425
quoty,4470
quote2,15041
mquote,1321
quotes,2866
qute,15324
squote,60295
quoted,2701
hand,2499
grand,1296
rana,13033
rend,29544497
randu,2975
randy,8847
randn,3288
prand,2336
and,1090
rann,2762
frand,8367
rans,6493
srand,8907
rando,4744
rapd,2594
ran,66475
raid,1073
wand,4109
sand,7478
rano,1067
zrand,1138
rang,4154
rant,31183
rany,9969
drand,1036
rad,13561
randm,2227
kand,367
raad,2475
chacha,2604212
rand,451327552
rand,451327552
crayon,24372
ramon,668
radon,1030
raygon,1250
reglex,5186
relex,3540
iregex,1482
regexc,563
regexp,16153
regen,1799
regexy,864
regexm,6827
gregex,6511
regix,992
request,22201
serde,460306794
rmp,36604218
amp-serde,1926
rouille-ng,1911
rustcrypto,1556
crypto,557171
rusty-hash,3857
hash,32471
rustc-serialize2,1296
version,260812
schemas,5536
sever,5243
semver2,1221
emver,8813
serde2,1411
serdo,24917
erde,390
sedre,874
kserde,1651
hserde,2587
verde,4620
serdev,1431
xerde,1121
serde1,4552
serie,7305
eserde,555
merde,17669
serve,2222
serde,460306794
bytes,307877488
serde,460306794
serdev_derive,1504
derive,35988
eserde_derive,564
merde_json,20457
serde,460306794
serde_json5,186292
serde_jsonc,24006
serde_bson,4680
serde_kson,5651
json,16038248
serde,460306794
merde_yaml,6657
serde_taml,7055
serde,460306794
serde_yml,831655
serde_yaml2,132446
yaml,31468
sham,1529
sha2,251295515
shap,930
shas,1241
sha3,55386512
shah,3907
sha,142677
sha-1,96029759
shai,3498
sham,1529
sh2,737
shap,930
shas,1241
sha3,55386512
sha1,134709026
shah,3907
sha,142677
shai,3498
sham,1529
sha2,251295515
shap,930
shas,1241
shr3,1809
sha1,134709026
shah,3907
shad3,21317
sha,142677
shai,3498
simple-log,76453
logger,202943
simple,17204
sqli,144
sqlo,1762
sqlr,619
sqlm,725
sqlc,1014
sqlxx,4740
sql,17442
sqlex,779
sqly,2098
sqld,299
silx,1902
sqlb,28133
assertions,66580
static,7422
structout,6761
straum,1369
str0m,799670
strom,3271
serum,9759
struf,959
strim,3745
strux,968
strem,2790
spn,2739
s2n,1193
pyn,9706
syf,1659
ryn,2699
rsyn,2409
sn,7687
sin,3071
spyn,7377
myn,16727
sym,1011
syd,3588212
syr,2567
esyn,13798
lyn,2866
nyn,1001
sdn,703
yn,58689
san,1046
sync,3980
syk,1041
syt,253
stn,35788
sun,119350
psysinfo,3717
sys-info,12854472
tmpdir,20741
temp-dir,2676304
temp-file,517502
tmpfile,27444
termcolor2,615
termcolors,1671
fermion,2339
termios,13871241
tyme,270
timey,2349
htime,2821
tide,1913371
mtime,1135
rtime,17034
pime,13975
wtime,3058
ptime,3803
times,20655
tome,1487
etime,8827
timi,4317
trime,1628
timer,2970233
timo,1150
time2,3669
timex,1816
tim,1502
timg,5765
tize,938
utime,626232
timr,2528
tim2,3873
timed,65008
tie,3893
tame,1933
tile,996
mime,195062641
ctime,1804
tine,187
lime,1397
tokio,276681830
tokio,276681830
tokio,276681830
tokio,276681830
tungstenite,76229771
tokio,276681830
tokio-utils,117446
tokin,474
tokyo,8808
toio,6365
toykio,2910
topkio,1429
toil,753
ctoml,722
tomo,566
todl,4968
tomlq,69087
taml,18432
tome,1487
zoml,2238
tombl,1528
rtoml,1959
tom,1503
tool,12392
txml,1233
tomli,1299
tyml,1106
homl,1320
tomq,1834
etoml,3236
tml,3197
toql,16294
oml,4344
tompl,799
tomb,1745
boml,138969
tonik,977
sonic,3178
toni,319
toxic,2206
topic,1613
ionic,1143
tunic,970
http,260110810
tower,124592433
toner,15959
lower,3101
towel,1204
power,1036
tracing,243680799
iracing,12628
jtracing,7349
trading,1075
trybuild2,116648
areq,634
xreq,5708
ireq,14199
treq,17298
oreq,9637
uren,320
freq,1207
crl,6285
turl,2817
urls,1075
urc,2103
urn,301348
durl,6724
ul,10347
purl,205490
murl,527
ur,13476
uil,5199
kurl,7681
vrl,278161
arl,3451
udl,3514
ucl,8234
uri,17485
urs,1013
gurl,2563
furl,2595
nurl,15610
url2,141056
qrl,1105
xrl,15223
rl,3543
curl,24887952
uwl,1181455
burl,3383
usl,4669
wurl,1604
upl,2688
xurl,1102
urt,1209
qurl,2031
rurl,3342
hurl,92766
uxid,1222
uwuid,3155
duid,1043
puid,2206
guuid,1098
ruuid,4750
tuid,1456
upid,8669
uguid,320880
urid,12979
quuid,1275
auid,5076
muid,10139
fuid,5029
uuid7,190571
nuid,4055509
cuid,505005
uid,93888
euid,7454
ulid,5451825
uuid1,4403
guid,53486
suid,975
nuuid,14644
xuid,2596
unid,4925
wasm-bindgen,138164518
bindgen,112126721
webf-sys,1044
webm-sys,498482
rwhich,788
window,10971
windowsx,935
winrt,349394
winio,7802
init,4689
rinit,2737
wginit,4539
wini,1186
winipt,2121
minit,1076
sinit,3991
xor,16986
name,1147
sip,2131
pzip,2749
tip,3975
nip,3635
lzip,1930
zips,9162
fip,2671
zia,12555
yip,2201
gzip,5755
szip,4762
zim,4162
bip,4087
rzip,16061
hip,986
vip,1162
zipp,3420
zipng,3787
zif,1513
zzp,1778
zic,584
dip,3346
lip,33036
zipf,949453
zi,15833
zipx,1472
